NThreads,Average_Time_Per_Thread(ms),Time(ms)
1,130000.000000,130000.000000
2,67000.000000,134000.000000
4,38250.000000,153000.000000
6,38500.000000,231000.000000
8,33875.000000,271000.000000
10,37000.000000,370000.000000
12,33166.667969,398000.000000
14,29857.142578,418000.000000
16,35750.000000,572000.000000
18,29944.445312,539000.000000
20,29550.000000,591000.000000
22,31409.091797,691000.000000
24,30916.666016,742000.000000
26,33500.000000,871000.000000
28,32321.427734,905000.000000
30,31600.000000,948000.000000
32,32468.750000,1039000.000000
34,31588.234375,1074000.000000
36,50277.777344,1810000.000000
38,33552.632812,1275000.000000
40,31800.000000,1272000.000000
42,32547.619141,1367000.000000
44,33318.183594,1466000.000000
46,32934.781250,1515000.000000
48,34145.832031,1639000.000000
