MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Time,Result
./trap_busywaiting,1,1.00,100.00,40,82.00,0.00
./trap_busywaiting,2,1.00,100.00,40,125.00,290454.66
./trap_busywaiting,4,1.00,100.00,40,145.00,327717.85
./trap_busywaiting,6,1.00,100.00,40,205.00,242559.41
./trap_busywaiting,8,1.00,100.00,40,248.00,332624.22
./trap_busywaiting,10,1.00,100.00,40,263.00,485539.44
./trap_busywaiting,12,1.00,100.00,40,345.00,263382.99
./trap_busywaiting,14,1.00,100.00,40,467.00,115805.12
./trap_busywaiting,16,1.00,100.00,40,487.00,202094.33
./trap_busywaiting,18,1.00,100.00,40,537.00,247263.05
./trap_busywaiting,20,1.00,100.00,40,573.00,526616.01
./trap_busywaiting,22,1.00,100.00,40,700.00,56869.83
./trap_busywaiting,24,1.00,100.00,40,777.00,91632.32
./trap_busywaiting,26,1.00,100.00,40,802.00,119206.49
./trap_busywaiting,28,1.00,100.00,40,1544.00,158810.80
./trap_busywaiting,30,1.00,100.00,40,968.00,158676.05
./trap_busywaiting,32,1.00,100.00,40,989.00,213394.39
./trap_busywaiting,34,1.00,100.00,40,1142.00,206529.02
./trap_busywaiting,36,1.00,100.00,40,1147.00,368710.55
./trap_busywaiting,38,1.00,100.00,40,1293.00,344347.38
./trap_busywaiting,40,1.00,100.00,40,1986.00,333417.89
./trap_busywaiting,42,1.00,100.00,40,2113.00,205.42
./trap_busywaiting,44,1.00,100.00,40,1412.00,106.42
./trap_busywaiting,46,1.00,100.00,40,1492.00,111.37
./trap_busywaiting,48,1.00,100.00,40,1648.00,235.12
