MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Time,Result
./trap_mutex,1,1.00,100.00,40,92.00,333434.07
./trap_mutex,2,1.00,100.00,40,127.00,333434.07
./trap_mutex,4,1.00,100.00,40,151.00,333434.07
./trap_mutex,6,1.00,100.00,40,204.00,243901.53
./trap_mutex,8,1.00,100.00,40,279.00,333434.07
./trap_mutex,10,1.00,100.00,40,261.00,333434.07
./trap_mutex,12,1.00,100.00,40,433.00,243901.53
./trap_mutex,14,1.00,100.00,40,656.00,115880.06
./trap_mutex,16,1.00,100.00,40,471.00,172030.39
./trap_mutex,18,1.00,100.00,40,549.00,243901.53
./trap_mutex,20,1.00,100.00,40,564.00,333434.07
./trap_mutex,22,1.00,100.00,40,666.00,56886.01
./trap_mutex,24,1.00,100.00,40,692.00,73509.93
./trap_mutex,26,1.00,100.00,40,1518.00,93093.76
./trap_mutex,28,1.00,100.00,40,929.00,115880.06
./trap_mutex,30,1.00,100.00,40,976.00,142111.41
./trap_mutex,32,1.00,100.00,40,1008.00,172030.39
./trap_mutex,34,1.00,100.00,40,1237.00,205879.58
./trap_mutex,36,1.00,100.00,40,1156.00,243901.53
./trap_mutex,38,1.00,100.00,40,1238.00,286338.84
./trap_mutex,40,1.00,100.00,40,1358.00,333434.07
./trap_mutex,42,1.00,100.00,40,1272.00,103.95
./trap_mutex,44,1.00,100.00,40,1439.00,108.90
./trap_mutex,46,1.00,100.00,40,1534.00,113.85
./trap_mutex,48,1.00,100.00,40,1670.00,118.80
