Nº Threads,Average Time (MiliSecounds),Time (MiliSecounds)
1,105999998976.000000,106000000000.000000
1,82000003072.000000,82000000000.000000
1,86999998464.000000,87000000000.000000
1,79000002560.000000,79000000000.000000
1,101000003584.000000,101000000000.000000
2,67499999232.000000,135000000000.000000
2,54499999744.000000,109000000000.000000
2,66500001792.000000,133000000000.000000
2,62000001024.000000,124000000000.000000
2,62499999744.000000,125000000000.000000
4,48000000000.000000,192000000000.000000
4,40749998080.000000,163000000000.000000
4,40249999360.000000,161000000000.000000
4,46499999744.000000,186000000000.000000
4,44750000128.000000,179000000000.000000
8,33624999936.000000,269000000000.000000
8,32750000128.000000,262000000000.000000
8,36999999488.000000,296000000000.000000
8,34750001152.000000,278000000000.000000
8,33124999168.000000,265000000000.000000
16,57562501120.000000,921000000000.000000
16,30312499200.000000,485000000000.000000
16,30624999424.000000,490000000000.000000
16,32374999040.000000,518000000000.000000
16,-237060456448.000000,-3792967296000.000000
24,36250001408.000000,870000000000.000000
24,29833332736.000000,716000000000.000000
24,28791666688.000000,691000000000.000000
24,31000000512.000000,744000000000.000000
24,-148165296128.000000,-3555967296000.000000
32,36624998400.000000,1172000000000.000000
32,30624999424.000000,980000000000.000000
32,-96780230656.000000,-3096967296000.000000
32,30937499648.000000,990000000000.000000
32,27000000512.000000,864000000000.000000
48,-59874320384.000000,-2873967296000.000000
48,33145833472.000000,1591000000000.000000
48,27416666112.000000,1316000000000.000000
48,-58749317120.000000,-2819967296000.000000
48,32208332800.000000,1546000000000.000000
