Prog_name,Nº Threads,a,b,n,Time (MiliSecounds),Result
./trap_busy,1,1.00,100.00,40,91.00,267260.00
./trap_busy,1,1.00,100.00,40,83.00,267260.00
./trap_busy,1,1.00,100.00,40,112.00,267260.00
./trap_busy,1,1.00,100.00,40,-4203.97,267260.00
./trap_busy,1,1.00,100.00,40,94.00,267260.00
./trap_busy,2,1.00,100.00,40,139.00,259240.00
./trap_busy,2,1.00,100.00,40,114.00,259240.00
./trap_busy,2,1.00,100.00,40,119.00,259240.00
./trap_busy,2,1.00,100.00,40,123.00,259240.00
./trap_busy,2,1.00,100.00,40,146.00,259240.00
./trap_busy,4,1.00,100.00,40,178.00,262032.50
./trap_busy,4,1.00,100.00,40,176.00,262032.50
./trap_busy,4,1.00,100.00,40,166.00,262032.50
./trap_busy,4,1.00,100.00,40,165.00,262032.50
./trap_busy,4,1.00,100.00,40,161.00,262032.50
./trap_busy,8,1.00,100.00,40,308.00,265129.38
./trap_busy,8,1.00,100.00,40,337.00,265129.38
./trap_busy,8,1.00,100.00,40,284.00,265129.38
./trap_busy,8,1.00,100.00,40,286.00,265129.38
./trap_busy,8,1.00,100.00,40,283.00,265129.38
./trap_busy,16,1.00,100.00,40,487.00,137787.44
./trap_busy,16,1.00,100.00,40,470.00,137787.44
./trap_busy,16,1.00,100.00,40,883.26,137787.44
./trap_busy,16,1.00,100.00,40,475.00,137787.44
./trap_busy,16,1.00,100.00,40,569.00,137787.44
./trap_busy,24,1.00,100.00,40,749.00,59016.58
./trap_busy,24,1.00,100.00,40,732.00,59016.58
./trap_busy,24,1.00,100.00,40,719.00,59016.58
./trap_busy,24,1.00,100.00,40,695.00,59016.58
./trap_busy,24,1.00,100.00,40,-3528.97,59016.58
./trap_busy,32,1.00,100.00,40,885.00,138350.14
./trap_busy,32,1.00,100.00,40,917.00,138350.14
./trap_busy,32,1.00,100.00,40,1048.00,138350.14
./trap_busy,32,1.00,100.00,40,947.00,138350.14
./trap_busy,32,1.00,100.00,40,-3184.97,138350.14
./trap_busy,48,1.00,100.00,40,-2869.97,0.00
./trap_busy,48,1.00,100.00,40,-2813.97,0.00
./trap_busy,48,1.00,100.00,40,1291.00,0.00
./trap_busy,48,1.00,100.00,40,-2799.97,0.00
./trap_busy,48,1.00,100.00,40,-3005.97,0.00
