Prog_name,Nº Threads,a,b,n,Time (MiliSecounds),Result
./trap_mutex,1,0.00,1024.00,1,0.000095844,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000129938,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000110865,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000105858,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000106812,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000118017,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000118971,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000134945,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000118971,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000157118,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000189066,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000221014,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000170946,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000170946,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000159979,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000262976,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000319004,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000329971,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000304937,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000283003,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000660181,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000599861,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000612974,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000494957,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000505924,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001162052,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001043081,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.000946045,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001006126,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001067877,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002017975,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.001832008,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002504110,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.001934052,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002007008,357914112.00
