Prog_name,Nº Threads,a,b,n,Time (MiliSecounds),Result
./trap_sem,1,0.00,1024.00,1,101000000.00,357914112.00
./trap_sem,1,0.00,1024.00,1,133000000.00,357914112.00
./trap_sem,1,0.00,1024.00,1,98000000.00,357914112.00
./trap_sem,1,0.00,1024.00,1,120000000.00,357914112.00
./trap_sem,1,0.00,1024.00,1,-4174967296.00,357914112.00
./trap_sem,2,0.00,1024.00,2,124000000.00,357914112.00
./trap_sem,2,0.00,1024.00,2,133000000.00,357914112.00
./trap_sem,2,0.00,1024.00,2,148000000.00,313174784.00
./trap_sem,2,0.00,1024.00,2,147000000.00,357914112.00
./trap_sem,2,0.00,1024.00,2,109000000.00,357914112.00
./trap_sem,4,0.00,1024.00,4,199000000.00,251658368.00
./trap_sem,4,0.00,1024.00,4,169000000.00,150995072.00
./trap_sem,4,0.00,1024.00,4,168000000.00,357914112.00
./trap_sem,4,0.00,1024.00,4,180000000.00,357914112.00
./trap_sem,4,0.00,1024.00,4,178000000.00,357914112.00
./trap_sem,8,0.00,1024.00,8,291000000.00,357215040.00
./trap_sem,8,0.00,1024.00,8,300000000.00,357914112.00
./trap_sem,8,0.00,1024.00,8,372000000.00,357914112.00
./trap_sem,8,0.00,1024.00,8,285000000.00,357914112.00
./trap_sem,8,0.00,1024.00,8,273000000.00,357914112.00
./trap_sem,16,0.00,1024.00,16,505000000.00,357914112.00
./trap_sem,16,0.00,1024.00,16,561000000.00,357914112.00
./trap_sem,16,0.00,1024.00,16,454000000.00,357914112.00
./trap_sem,16,0.00,1024.00,16,454000000.00,350923584.00
./trap_sem,16,0.00,1024.00,16,474000000.00,357914112.00
./trap_sem,32,0.00,1024.00,32,888000000.00,355336352.00
./trap_sem,32,0.00,1024.00,32,888000000.00,357706576.00
./trap_sem,32,0.00,1024.00,32,-3353967296.00,357914112.00
./trap_sem,32,0.00,1024.00,32,938000000.00,357914112.00
./trap_sem,32,0.00,1024.00,32,931000000.00,357914112.00
./trap_sem,64,0.00,1024.00,64,1901000000.00,357914112.00
./trap_sem,64,0.00,1024.00,64,-2391967296.00,357914112.00
./trap_sem,64,0.00,1024.00,64,2009000000.00,357914112.00
./trap_sem,64,0.00,1024.00,64,2974000000.00,357914112.00
./trap_sem,64,0.00,1024.00,64,-2349967296.00,357914112.00
