Nº Threads,Average Time (MiliSecounds),Time (MiliSecounds)
1,0.000180006,0.000180006
1,0.000149965,0.000149965
1,0.000097036,0.000097036
1,0.000139952,0.000139952
1,0.000101089,0.000101089
2,0.000054479,0.000108957
2,0.000058413,0.000116825
2,0.000058532,0.000117064
2,0.000048518,0.000097036
2,0.000052571,0.000105143
4,0.000035048,0.000140190
4,0.000055254,0.000221014
4,0.000038505,0.000154018
4,0.000038743,0.000154972
4,0.000039458,0.000157833
8,0.000034273,0.000274181
8,0.000036508,0.000292063
8,0.000030518,0.000244141
8,0.000031501,0.000252008
8,0.000034750,0.000277996
16,0.000032008,0.000512123
16,0.000032067,0.000513077
16,0.000031561,0.000504971
16,0.000084251,0.001348019
16,0.000026509,0.000424147
32,0.000035003,0.001120090
32,0.000033088,0.001058817
32,0.000032902,0.001052856
32,0.000033654,0.001076937
32,0.000032723,0.001047134
64,0.000048377,0.003096104
64,0.000038154,0.002441883
64,0.000039734,0.002542973
64,0.000035655,0.002281904
64,0.000036169,0.002314806
