Prog_name,Nº Threads,a,b,n,Time (MiliSecounds),Result
./trap_busy,1,1.00,100.00,1,0.000180006,333349.50
./trap_busy,1,1.00,100.00,1,0.000106096,333349.50
./trap_busy,1,1.00,100.00,1,0.000105858,333349.50
./trap_busy,1,1.00,100.00,1,0.000108957,333349.50
./trap_busy,1,1.00,100.00,1,0.000133991,333349.50
./trap_busy,2,1.00,100.00,2,0.000116825,327186.75
./trap_busy,2,1.00,100.00,2,0.000103951,327186.75
./trap_busy,2,1.00,100.00,2,0.000112057,327186.75
./trap_busy,2,1.00,100.00,2,0.000110149,327186.75
./trap_busy,2,1.00,100.00,2,0.000113010,327186.75
./trap_busy,4,1.00,100.00,4,0.000201941,319520.50
./trap_busy,4,1.00,100.00,4,0.000157118,319520.50
./trap_busy,4,1.00,100.00,4,0.000145197,319520.50
./trap_busy,4,1.00,100.00,4,0.000285864,319520.50
./trap_busy,4,1.00,100.00,4,0.000154018,319520.50
./trap_busy,8,1.00,100.00,8,0.000219107,321529.75
./trap_busy,8,1.00,100.00,8,0.000267982,321529.75
./trap_busy,8,1.00,100.00,8,0.000237942,321529.75
./trap_busy,8,1.00,100.00,8,0.000272989,321529.75
./trap_busy,8,1.00,100.00,8,0.000228882,321529.75
./trap_busy,16,1.00,100.00,16,0.000452995,322482.06
./trap_busy,16,1.00,100.00,16,0.000478029,322482.06
./trap_busy,16,1.00,100.00,16,0.000459909,322482.06
./trap_busy,16,1.00,100.00,16,0.000440121,322482.06
./trap_busy,16,1.00,100.00,16,0.000429869,322482.06
./trap_busy,32,1.00,100.00,32,0.001147985,322945.14
./trap_busy,32,1.00,100.00,32,0.001055956,322945.14
./trap_busy,32,1.00,100.00,32,0.001014233,322945.14
./trap_busy,32,1.00,100.00,32,0.001121044,322945.14
./trap_busy,32,1.00,100.00,32,0.001067877,322945.14
./trap_busy,64,1.00,100.00,64,0.002227068,215513.52
./trap_busy,64,1.00,100.00,64,0.002372026,215513.52
./trap_busy,64,1.00,100.00,64,0.002122879,215513.52
./trap_busy,64,1.00,100.00,64,0.002228022,215513.52
./trap_busy,64,1.00,100.00,64,0.002271175,215513.52
