Prog_name,Nº Threads,a,b,n,Time (MiliSecounds),Result
./trap_mutex,1,0.00,1024.00,1,0.000123024,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000128984,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000143051,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000128984,357914112.00
./trap_mutex,1,0.00,1024.00,1,0.000128984,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000092983,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000148058,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000146866,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000106812,357914112.00
./trap_mutex,2,0.00,1024.00,2,0.000156879,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000143051,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000181913,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000144005,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000143051,357914112.00
./trap_mutex,4,0.00,1024.00,4,0.000294924,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000255108,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000309944,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000307083,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000266075,357914112.00
./trap_mutex,8,0.00,1024.00,8,0.000234842,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000483990,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000448942,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000460863,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000431061,357914112.00
./trap_mutex,16,0.00,1024.00,16,0.000498056,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001780987,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001010895,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001049995,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001025915,357914112.00
./trap_mutex,32,0.00,1024.00,32,0.001001835,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002113819,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002217770,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002282143,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002171040,357914112.00
./trap_mutex,64,0.00,1024.00,64,0.002272129,357914112.00
