Prog_name,Nº Threads,a,b,n,Time (MiliSecounds),Result
./trap_sem,1,1.00,100.00,40,235000000.00,267260.00
./trap_sem,1,1.00,100.00,40,116000000.00,267260.00
./trap_sem,1,1.00,100.00,40,128000000.00,267260.00
./trap_sem,1,1.00,100.00,40,128000000.00,267260.00
./trap_sem,1,1.00,100.00,40,133000000.00,267260.00
./trap_sem,2,1.00,100.00,40,100000000.00,259240.00
./trap_sem,2,1.00,100.00,40,109000000.00,259240.00
./trap_sem,2,1.00,100.00,40,113000000.00,259240.00
./trap_sem,2,1.00,100.00,40,102000000.00,259240.00
./trap_sem,2,1.00,100.00,40,110000000.00,259240.00
./trap_sem,4,1.00,100.00,40,154000000.00,262032.50
./trap_sem,4,1.00,100.00,40,137000000.00,262032.50
./trap_sem,4,1.00,100.00,40,152000000.00,262032.50
./trap_sem,4,1.00,100.00,40,165000000.00,262032.50
./trap_sem,4,1.00,100.00,40,142000000.00,262032.50
./trap_sem,8,1.00,100.00,40,268000000.00,265129.38
./trap_sem,8,1.00,100.00,40,259000000.00,265129.38
./trap_sem,8,1.00,100.00,40,280000000.00,265129.38
./trap_sem,8,1.00,100.00,40,250000000.00,265129.38
./trap_sem,8,1.00,100.00,40,234000000.00,265129.38
./trap_sem,16,1.00,100.00,40,483000000.00,137787.44
./trap_sem,16,1.00,100.00,40,1351000000.00,137787.44
./trap_sem,16,1.00,100.00,40,508000000.00,137787.44
./trap_sem,16,1.00,100.00,40,467000000.00,137787.44
./trap_sem,16,1.00,100.00,40,436000000.00,137787.44
./trap_sem,24,1.00,100.00,40,747000000.00,59016.58
./trap_sem,24,1.00,100.00,40,775000000.00,59016.58
./trap_sem,24,1.00,100.00,40,752000000.00,59016.58
./trap_sem,24,1.00,100.00,40,727000000.00,59016.58
./trap_sem,24,1.00,100.00,40,774000000.00,59016.58
./trap_sem,32,1.00,100.00,40,1031000000.00,138350.14
./trap_sem,32,1.00,100.00,40,1664000000.00,138350.14
./trap_sem,32,1.00,100.00,40,1034000000.00,138350.14
./trap_sem,32,1.00,100.00,40,994000000.00,138350.14
./trap_sem,32,1.00,100.00,40,1101000000.00,138350.14
./trap_sem,48,1.00,100.00,40,1562000000.00,0.00
./trap_sem,48,1.00,100.00,40,1589000000.00,0.00
./trap_sem,48,1.00,100.00,40,1610000000.00,0.00
./trap_sem,48,1.00,100.00,40,1530000000.00,0.00
./trap_sem,48,1.00,100.00,40,2464000000.00,0.00
